B,E,N,Band
2.6969696969696972,2.9133408572998246e-21,1.0,0.0
2.757575757575758,2.966907116208241e-21,1.0,0.0
2.8181818181818183,3.019890453795294e-21,1.0,0.0
2.878787878787879,3.0723095765619456e-21,1.0,0.0
2.9393939393939394,3.1241822114136486e-21,1.0,0.0
3.0,3.1755251760076964e-21,1.0,0.0
3.0606060606060606,3.2263544427356405e-21,1.0,0.0
3.121212121212121,3.2766851970307963e-21,1.0,0.0
3.1818181818181817,3.3265318906041667e-21,1.0,0.0
3.2424242424242427,3.375908290137722e-21,1.0,0.0
3.303030303030303,3.424827521900026e-21,1.0,0.0
3.3636363636363638,3.473302112693946e-21,1.0,0.0
3.4242424242424243,3.521344027498379e-21,1.0,0.0
3.484848484848485,3.568964704124525e-21,1.0,0.0
3.5454545454545454,3.61617508517108e-21,1.0,0.0
3.606060606060606,3.662985647531282e-21,1.0,0.0
3.666666666666667,3.709406429677229e-21,1.0,0.0
3.7272727272727275,3.7554470569227366e-21,1.0,0.0
3.787878787878788,3.8011167648448355e-21,1.0,0.0
3.8484848484848486,3.846424421025326e-21,1.0,0.0
3.909090909090909,3.891378545257372e-21,1.0,0.0
3.9696969696969697,3.935987328347523e-21,1.0,0.0
4.03030303030303,3.980258649630708e-21,1.0,0.0
4.090909090909091,4.024200093304231e-21,1.0,0.0
4.151515151515151,4.0678189636767094e-21,1.0,0.0
4.212121212121213,4.1111222994187215e-21,1.0,0.0
4.272727272727273,4.1541168868939355e-21,1.0,0.0
4.333333333333334,4.1968092726422045e-21,1.0,0.0
4.3939393939393945,4.2392057750796274e-21,1.0,0.0
4.454545454545455,4.281312495474808e-21,1.0,0.0
4.515151515151516,4.323135328255278e-21,1.0,0.0
4.575757575757576,4.364679970693396e-21,1.0,0.0
4.636363636363637,4.405951932016772e-21,1.0,0.0
4.696969696969697,4.446956541984454e-21,1.0,0.0
4.757575757575758,4.4876989589667045e-21,1.0,0.0
4.818181818181818,4.528184177563006e-21,1.0,0.0
4.878787878787879,4.568417035790167e-21,1.0,0.0
4.9393939393939394,4.6084022218698094e-21,1.0,0.0
5.0,4.648144280642189e-21,1.0,0.0
5.0606060606060606,4.6876476196312e-21,1.0,0.0
5.121212121212121,4.726916514783452e-21,1.0,0.0
5.181818181818182,4.765955115902599e-21,1.0,0.0
5.242424242424242,4.804767451798449e-21,1.0,0.0
5.303030303030303,4.84335743516895e-21,1.0,0.0
5.363636363636363,4.881728867231796e-21,1.0,0.0
5.424242424242425,4.91988544212117e-21,1.0,0.0
5.484848484848485,4.957830751064007e-21,1.0,0.0
5.545454545454546,4.99556828634917e-21,1.0,0.0
5.606060606060606,5.033101445101916e-21,1.0,0.0
5.666666666666667,5.070433532875245e-21,1.0,0.0
5.7272727272727275,5.107567767068813e-21,1.0,0.0
5.787878787878788,5.144507280185487e-21,1.0,0.0
5.848484848484849,5.181255122934836e-21,1.0,0.0
5.909090909090909,5.2178142671922365e-21,1.0,0.0
5.96969696969697,5.25418760882178e-21,1.0,0.0
6.03030303030303,5.290377970370498e-21,1.0,0.0
6.090909090909091,5.326388103641058e-21,1.0,0.0
6.151515151515151,5.3622206921495254e-21,1.0,0.0
6.212121212121212,5.397878353474439e-21,1.0,0.0
6.2727272727272725,5.433363641502983e-21,1.0,0.0
6.333333333333334,5.468679048579729e-21,1.0,0.0
6.3939393939393945,5.5038270075630816e-21,1.0,0.0
6.454545454545455,5.5388098937941825e-21,1.0,0.0
6.515151515151516,5.573630026982839e-21,1.0,0.0
6.575757575757576,5.608289673014663e-21,1.0,0.0
6.636363636363637,5.642791045683438e-21,1.0,0.0
6.696969696969697,5.6771363083524475e-21,1.0,0.0
6.757575757575758,5.711327575548299e-21,1.0,0.0
6.818181818181818,5.745366914490556e-21,1.0,0.0
6.878787878787879,5.7792563465603325e-21,1.0,0.0
6.9393939393939394,5.812997848710767e-21,1.0,0.0
7.0,5.846593354822189e-21,1.0,0.0
1.0,2.246597388345543e-21,2.0,0.0
1.0606060606060606,2.3697097797414195e-21,2.0,0.0
1.121212121212121,2.4893629758686033e-21,2.0,0.0
1.1818181818181819,2.6058339705063254e-21,2.0,0.0
1.2424242424242424,2.7193646527310336e-21,2.0,0.0
1.303030303030303,2.8301677366942388e-21,2.0,0.0
1.3636363636363638,2.9384314625446337e-21,2.0,0.0
1.4242424242424243,3.0443233661164575e-21,2.0,0.0
1.4848484848484849,3.1479933333928575e-21,2.0,0.0
1.5454545454545454,3.2495760989223167e-21,2.0,0.0
1.606060606060606,3.3491933071196883e-21,2.0,0.0
1.6666666666666667,3.446955226440576e-21,2.0,0.0
1.7272727272727273,3.542962185310061e-21,2.0,0.0
1.7878787878787878,3.637305783093597e-21,2.0,0.0
1.8484848484848486,3.730069917741229e-21,2.0,0.0
1.9090909090909092,3.821331662926374e-21,2.0,0.0
1.9696969696969697,3.911162020774104e-21,2.0,0.0
2.0303030303030303,3.999626571089666e-21,2.0,0.0
2.090909090909091,4.086786033967001e-21,2.0,0.0
2.1515151515151514,4.172696759496983e-21,2.0,0.0
2.212121212121212,4.257411155798566e-21,2.0,0.0
2.2727272727272725,4.340978064609414e-21,2.0,0.0
2.3333333333333335,4.423443092081126e-21,2.0,0.0
2.393939393939394,4.504848901140771e-21,2.0,0.0
2.4545454545454546,4.585235470739606e-21,2.0,0.0
2.515151515151515,4.6646403264604864e-21,2.0,0.0
2.5757575757575757,4.743098746259021e-21,2.0,0.0
2.6363636363636367,4.820643944539128e-21,2.0,0.0
2.6969696969696972,4.897307237287904e-21,2.0,0.0
2.757575757575758,4.973118190598747e-21,2.0,0.0
2.8181818181818183,5.048104754580581e-21,2.0,0.0
2.878787878787879,5.1222933843731335e-21,2.0,0.0
2.9393939393939394,5.195709149754046e-21,2.0,0.0
3.0,5.268375834625287e-21,2.0,0.0
3.0606060606060606,5.3403160274982015e-21,2.0,0.0
3.121212121212121,5.411551203952983e-21,2.0,0.0
3.1818181818181817,5.48210180192584e-21,2.0,0.0
3.2424242424242427,5.5519872905718925e-21,2.0,0.0
3.303030303030303,5.621226233361361e-21,2.0,0.0
3.3636363636363638,5.689836345988538e-21,2.0,0.0
3.4242424242424243,5.75783454960539e-21,2.0,0.0
3.484848484848485,5.8252370198330656e-21,2.0,0.0
3.5454545454545454,5.892059231953502e-21,2.0,0.0
3.606060606060606,5.958316002638818e-21,2.0,0.0
3.666666666666667,6.024021528537286e-21,2.0,0.0
3.7272727272727275,6.089189422000517e-21,2.0,0.0
3.787878787878788,6.1538327442065776e-21,2.0,0.0
3.8484848484848486,6.217964035907275e-21,2.0,0.0
3.909090909090909,6.2815953460047056e-21,2.0,0.0
3.9696969696969697,6.344738258141417e-21,2.0,0.0
4.03030303030303,6.407403915470424e-21,2.0,0.0
4.090909090909091,6.469603043755069e-21,2.0,0.0
4.151515151515151,6.531345972934326e-21,2.0,0.0
4.212121212121213,6.5926426572763555e-21,2.0,0.0
4.272727272727273,6.653502694231626e-21,2.0,0.0
4.333333333333334,6.713935342086741e-21,2.0,0.0
4.3939393939393945,6.77394953651089e-21,2.0,0.0
4.454545454545455,6.833553906078679e-21,2.0,0.0
4.515151515151516,6.892756786845676e-21,2.0,0.0
4.575757575757576,6.951566236046384e-21,2.0,0.0
4.636363636363637,7.009990044978383e-21,2.0,0.0
4.696969696969697,7.068035751130946e-21,2.0,0.0
4.757575757575758,7.125710649611603e-21,2.0,0.0
4.818181818181818,7.183021803919676e-21,2.0,0.0
4.878787878787879,7.239976056111842e-21,2.0,0.0
4.9393939393939394,7.29658003640113e-21,2.0,0.0
5.0,7.352840172227467e-21,2.0,0.0
5.0606060606060606,7.408762696834933e-21,2.0,0.0
5.121212121212121,7.464353657388071e-21,2.0,0.0
5.181818181818182,7.519618922657227e-21,2.0,0.0
5.242424242424242,7.574564190300526e-21,2.0,0.0
5.303030303030303,7.629194993768064e-21,2.0,0.0
5.363636363636363,7.683516708852035e-21,2.0,0.0
5.424242424242425,7.737534559904675e-21,2.0,0.0
