B,E,N,Band
10.989898989898991,-3.0729075169047975e-21,0.0,0.0
11.151515151515152,-3.071352440108332e-21,0.0,0.0
11.313131313131315,-3.069797363311867e-21,0.0,0.0
11.474747474747476,-3.0682422865154017e-21,0.0,0.0
11.636363636363637,-3.066687209718936e-21,0.0,0.0
11.7979797979798,-3.065132132922471e-21,0.0,0.0
11.95959595959596,-3.0635770561260055e-21,0.0,0.0
12.121212121212123,-3.0620219793295403e-21,0.0,0.0
12.282828282828284,-3.060466902533075e-21,0.0,0.0
12.444444444444445,-3.05891182573661e-21,0.0,0.0
12.606060606060607,-3.0573567489401445e-21,0.0,0.0
12.767676767676768,-3.0558016721436794e-21,0.0,0.0
12.92929292929293,-3.054246595347214e-21,0.0,0.0
13.090909090909092,-3.0526915185507487e-21,0.0,0.0
13.252525252525254,-3.0511364417542835e-21,0.0,0.0
13.414141414141415,-3.049581364957818e-21,0.0,0.0
13.575757575757576,-3.048026288161353e-21,0.0,0.0
13.737373737373739,-3.0464712113648877e-21,0.0,0.0
13.8989898989899,-3.044916134568422e-21,0.0,0.0
14.060606060606062,-3.043361057771957e-21,0.0,0.0
14.222222222222223,-3.041805980975492e-21,0.0,0.0
14.383838383838386,-3.0402509041790263e-21,0.0,0.0
14.545454545454547,-3.0386958273825612e-21,0.0,0.0
14.707070707070708,-3.037140750586096e-21,0.0,0.0
14.86868686868687,-3.0355856737896305e-21,0.0,0.0
15.030303030303031,-3.0340305969931654e-21,0.0,0.0
15.191919191919194,-3.0324755201967002e-21,0.0,0.0
15.353535353535355,-3.0309204434002347e-21,0.0,0.0
15.515151515151516,-3.0293653666037695e-21,0.0,0.0
15.676767676767678,-3.0278102898073044e-21,0.0,0.0
15.83838383838384,-3.026255213010839e-21,0.0,0.0
16.0,-3.0247001362143737e-21,0.0,0.0
0.0,-3.1786527390644364e-21,1.0,0.0
0.16161616161616163,-1.1916253798300816e-21,1.0,0.0
0.32323232323232326,-3.682115541955121e-22,1.0,0.0
0.48484848484848486,2.637593301137275e-22,1.0,0.0
0.6464646464646465,7.96632127950935e-22,1.0,0.0
0.8080808080808082,1.2661758323594874e-21,1.0,0.0
0.9696969696969697,1.6907349561924817e-21,1.0,0.0
1.1313131313131315,2.0812069789445366e-21,1.0,0.0
1.292929292929293,2.44469220969085e-21,1.0,0.0
1.4545454545454546,2.7861225388037544e-21,1.0,0.0
1.6161616161616164,3.1090888448054473e-21,1.0,0.0
1.777777777777778,3.416301950294389e-21,1.0,0.0
1.9393939393939394,3.709867894286379e-21,1.0,0.0
2.101010101010101,3.991461498663441e-21,1.0,0.0
2.262626262626263,4.262440702253856e-21,1.0,0.0
2.4242424242424243,4.523924641094967e-21,1.0,0.0
2.585858585858586,4.776848607240784e-21,1.0,0.0
2.747474747474748,5.022003741481493e-21,1.0,0.0
2.909090909090909,5.2600663435457665e-21,1.0,0.0
3.070707070707071,5.491619937905584e-21,1.0,0.0
3.2323232323232327,5.717172170386489e-21,1.0,0.0
3.393939393939394,5.937167942824462e-21,1.0,0.0
3.555555555555556,6.151999761488228e-21,1.0,0.0
3.7171717171717176,6.362015989302859e-21,1.0,0.0
3.878787878787879,6.5675274986034096e-21,1.0,0.0
4.040404040404041,6.768813087755337e-21,1.0,0.0
4.202020202020202,6.96612393128671e-21,1.0,0.0
4.363636363636364,7.159687266303304e-21,1.0,0.0
4.525252525252526,7.349709469520159e-21,1.0,0.0
4.686868686868687,7.536378643685411e-21,1.0,0.0
4.848484848484849,7.71986680574468e-21,1.0,0.0
5.01010101010101,7.900331749227936e-21,1.0,0.0
5.171717171717172,8.077918638248331e-21,1.0,0.0
5.333333333333334,8.252761378923844e-21,1.0,0.0
5.494949494949496,8.424983805068676e-21,1.0,0.0
5.6565656565656575,8.594700708002251e-21,1.0,0.0
5.818181818181818,8.762018734815254e-21,1.0,0.0
5.97979797979798,8.927037175064303e-21,1.0,0.0
6.141414141414142,9.089848652379392e-21,1.0,0.0
6.303030303030304,9.250539734664972e-21,1.0,0.0
6.464646464646465,9.409191474308407e-21,1.0,0.0
6.626262626262627,9.56587988796522e-21,1.0,0.0
6.787878787878788,9.72067638398166e-21,1.0,0.0
6.94949494949495,9.8736481442744e-21,1.0,0.0
7.111111111111112,1.002485846646158e-20,1.0,0.0
7.272727272727273,1.0174367071187991e-20,1.0,0.0
7.434343434343435,1.0322230378876644e-20,1.0,0.0
7.595959595959597,1.0468501759544043e-20,1.0,0.0
7.757575757575758,1.0613231758815814e-20,1.0,0.0
7.91919191919192,1.0756468302856558e-20,1.0,0.0
8.080808080808081,1.0898256884569603e-20,1.0,0.0
8.242424242424244,1.1038640733117341e-20,1.0,0.0
8.404040404040405,1.1177660968552796e-20,1.0,0.0
8.565656565656566,1.1315356743130071e-20,1.0,0.0
