B,den,N,Band
12.92929292929293,1.1542560956123178e+16,1.0,0.0
13.090909090909092,1.1659587855000376e+16,1.0,0.0
13.252525252525254,1.175711391174781e+16,1.0,0.0
13.414141414141415,1.1819489840124038e+16,1.0,0.0
13.575757575757576,1.1884496904492416e+16,1.0,0.0
13.737373737373739,1.2015123824330176e+16,1.0,0.0
13.8989898989899,1.2132902243675284e+16,1.0,0.0
14.060606060606062,1.222689802367328e+16,1.0,0.0
14.222222222222223,1.2293209558588306e+16,1.0,0.0
14.383838383838386,1.2414996938251504e+16,1.0,0.0
14.545454545454547,1.254808688548594e+16,1.0,0.0
14.707070707070708,1.2666973721118742e+16,1.0,0.0
14.86868686868687,1.2767483372346978e+16,1.0,0.0
15.030303030303031,1.2815499489831686e+16,1.0,0.0
15.191919191919194,1.2657311229857224e+16,1.0,0.0
15.353535353535355,1.2524475057060112e+16,1.0,0.0
15.515151515151516,1.2416353939960226e+16,1.0,0.0
15.676767676767678,1.2332600458222472e+16,1.0,0.0
15.83838383838384,1.22728963999459e+16,1.0,0.0
16.0,1.2236690198176372e+16,1.0,0.0
0.0,,2.0,0.0
0.16161616161616163,-289887711503562.7,2.0,0.0
0.32323232323232326,981949937850537.4,2.0,0.0
0.48484848484848486,1482721440077601.0,2.0,0.0
0.6464646464646465,1936693791350213.2,2.0,0.0
0.8080808080808082,2320700474426406.5,2.0,0.0
0.9696969696969697,2599767855383029.0,2.0,0.0
1.1313131313131315,2866473035742546.0,2.0,0.0
1.292929292929293,3070388946853564.5,2.0,0.0
1.4545454545454546,3341888546896318.5,2.0,0.0
1.6161616161616164,3696232612257572.0,2.0,0.0
1.777777777777778,3929443651472557.0,2.0,0.0
1.9393939393939394,4101647283909224.0,2.0,0.0
2.101010101010101,4341862593295746.5,2.0,0.0
2.262626262626263,4632058795840968.0,2.0,0.0
2.4242424242424243,4959194879478745.0,2.0,0.0
2.585858585858586,5233715529894585.0,2.0,0.0
2.747474747474748,5396661262991807.0,2.0,0.0
2.909090909090909,5531274098214000.0,2.0,0.0
3.070707070707071,5743341640034598.0,2.0,0.0
3.2323232323232327,5958742175531175.0,2.0,0.0
3.393939393939394,6171100852590694.0,2.0,0.0
3.555555555555556,6471401441163264.0,2.0,0.0
3.7171717171717176,6731695262077376.0,2.0,0.0
3.878787878787879,7036960076775496.0,2.0,0.0
4.040404040404041,7325315140786199.0,2.0,0.0
4.202020202020202,7600492648176386.0,2.0,0.0
4.363636363636364,7897382826890612.0,2.0,0.0
4.525252525252526,8151183039579494.0,2.0,0.0
4.686868686868687,8423221773060830.0,2.0,0.0
4.848484848484849,8631849190337109.0,2.0,0.0
5.01010101010101,8884511248898674.0,2.0,0.0
5.171717171717172,9022415588583476.0,2.0,0.0
5.333333333333334,9256230128909686.0,2.0,0.0
5.494949494949496,9350658388396146.0,2.0,0.0
5.6565656565656575,9560243644557674.0,2.0,0.0
5.818181818181818,9657269154584876.0,2.0,0.0
5.97979797979798,9858402614773758.0,2.0,0.0
6.141414141414142,9978900058019988.0,2.0,0.0
6.303030303030304,1.01957689571187e+16,2.0,0.0
6.464646464646465,1.0339738637092378e+16,2.0,0.0
6.626262626262627,1.0582304719477848e+16,2.0,0.0
6.787878787878788,1.074865684868699e+16,2.0,0.0
6.94949494949495,1.1008643211162722e+16,2.0,0.0
7.111111111111112,1.1218402653208494e+16,2.0,0.0
7.272727272727273,1.146328819081482e+16,2.0,0.0
7.434343434343435,1.1715523865255012e+16,2.0,0.0
7.595959595959597,1.1762635763876842e+16,2.0,0.0
7.757575757575758,1.1705042626257038e+16,2.0,0.0
7.91919191919192,1.1727165071490458e+16,2.0,0.0
8.080808080808081,1.183186809696709e+16,2.0,0.0
8.242424242424244,1.1997734194765118e+16,2.0,0.0
